index,fieldOfView,timepoint,spotChannel,zc,yc,xc,intensityMean,zMin,zMax,yMin,yMax,xMin,xMax,tooCloseRois
0,P0001.zarr,79,0,3.907628987532479,231.9874778925304,871.9833511648726,118.26726920593931,-2.092371012467521,9.90762898753248,219.9874778925304,243.9874778925304,859.9833511648726,883.9833511648726,1 2
1,P0001.zarr,79,0,17.994259347453493,24.042015416774795,1360.0069098862991,117.13946884917321,11.994259347453493,23.994259347453493,12.042015416774795,36.042015416774795,1348.0069098862991,1372.0069098862991,0 2
2,P0001.zarr,79,0,23.009102422189756,231.98008711401275,871.9596645390719,116.14075915047447,17.009102422189756,29.009102422189756,219.98008711401275,243.98008711401275,859.9596645390719,883.9596645390719,0 1
3,P0001.zarr,79,0,16.527137137619988,422.5165732477932,667.2129969610728,157.0530303030303,10.527137137619988,22.527137137619988,410.5165732477932,434.5165732477932,655.2129969610728,679.2129969610728,8
4,P0001.zarr,79,0,16.950424004488077,118.88259896330818,349.6540530977019,161.81065410400436,10.950424004488077,22.950424004488077,106.88259896330818,130.88259896330817,337.6540530977019,361.6540530977019,5 6 7
5,P0001.zarr,79,0,18.177805530982404,445.45646697850475,607.9657421380375,160.33961681087763,12.177805530982404,24.177805530982404,433.45646697850475,457.45646697850475,595.9657421380375,619.9657421380375,4 6 7
6,P0001.zarr,79,0,17.83959674876146,1006.0753359579252,306.5263466292306,160.1254275940707,11.839596748761458,23.83959674876146,994.0753359579252,1018.0753359579252,294.5263466292306,318.5263466292306,4 5 7
7,P0001.zarr,79,0,17.70877472362621,1040.482813665982,290.6567022086824,163.12094117647058,11.70877472362621,23.70877472362621,1028.482813665982,1052.482813665982,278.6567022086824,302.6567022086824,4 5 6
8,P0001.zarr,79,0,17.294947508199503,1701.3423124347908,1665.0076588607058,152.65736930345983,11.294947508199503,23.294947508199503,1689.3423124347908,1713.3423124347908,1653.0076588607058,1677.0076588607058,3
